model,word,n_examples,self_similarity
klue/bert-base,헤아리다,26,0.4153124988079071
klue/bert-base,생각하다,45,0.5908610224723816
klue/bert-base,부르다,49,0.48281070590019226
klue/bert-base,노래하다,20,0.5988591909408569
klue/bert-base,게우다,12,0.6043519973754883
klue/bert-base,토하다,25,0.5237132906913757
klue/bert-base,굽다,44,0.40412208437919617
klue/bert-base,요리하다,8,0.539117157459259
klue/bert-base,덥다,17,0.544908881187439
klue/bert-base,따뜻하다,25,0.6639666557312012
beomi/kcbert-base,헤아리다,26,0.5103883743286133
beomi/kcbert-base,생각하다,45,0.4324674904346466
beomi/kcbert-base,부르다,49,0.41860562562942505
beomi/kcbert-base,노래하다,20,0.5691088438034058
beomi/kcbert-base,게우다,12,0.5376652479171753
beomi/kcbert-base,토하다,25,0.49200618267059326
beomi/kcbert-base,굽다,44,0.39189809560775757
beomi/kcbert-base,요리하다,8,0.5412818789482117
beomi/kcbert-base,덥다,17,0.577765941619873
beomi/kcbert-base,따뜻하다,25,0.509072482585907
