model,word,n_examples,self_similarity
klue/bert-base,헤아리다,3,0.6373950839042664
klue/bert-base,생각하다,25,0.5332852602005005
klue/bert-base,부르다,25,0.34413090348243713
klue/bert-base,노래하다,25,0.6408522129058838
klue/bert-base,게우다,1,
klue/bert-base,토하다,22,0.5786938667297363
klue/bert-base,굽다,10,0.351051926612854
klue/bert-base,요리하다,5,0.6312309503555298
klue/bert-base,덥다,25,0.5246128439903259
klue/bert-base,따뜻하다,25,0.6684377789497375
beomi/kcbert-base,헤아리다,3,0.5453741550445557
beomi/kcbert-base,생각하다,25,0.3330318331718445
beomi/kcbert-base,부르다,25,0.3600269556045532
beomi/kcbert-base,노래하다,25,0.4983842372894287
beomi/kcbert-base,게우다,1,
beomi/kcbert-base,토하다,22,0.5321977734565735
beomi/kcbert-base,굽다,10,0.31184977293014526
beomi/kcbert-base,요리하다,5,0.4150940477848053
beomi/kcbert-base,덥다,25,0.5292246341705322
beomi/kcbert-base,따뜻하다,25,0.5754420757293701
